FUENTE_PAGO,ID_PAGO,FECHA_PAGO,FECHA_REMESA,IDCLIENTE,IDMOROSO,MONTO
MEMO_PAGO_OPERADOR,776958,2020-05-12,2020-10-27,FRANCES_2012,5301,0
MEMO_PAGO_OPERADOR,782295,2020-06-08,2020-06-09,FRANCES_2012,4851,2700
MEMO_PAGO_OPERADOR,825434,2020-12-29,2020-12-29,FRANCES_2012,8995,12700
MEMO_PAGO_OPERADOR,818966,2020-11-30,2020-12-03,FRANCES_2012,1877,100
MEMO_PAGO_OPERADOR,755212,2020-01-21,2020-01-23,BSR_TARDIA,4557,4600
MEMO_PAGO_OPERADOR,832480,2021-01-22,,HSBC_LEGALES14,9617,0
MEMO_PAGO_OPERADOR,764970,2020-03-05,2020-03-09,FRANCES_2012,7615,9600
MEMO_PAGO_OPERADOR,834250,2021-01-29,2021-01-29,FRANCES_2012,3620,49000
MEMO_PAGO_OPERADOR,765185,2020-03-09,2020-03-10,FRANCES_2012,6753,1000
MEMO_PAGO_OPERADOR,764229,2020-03-03,2020-10-27,FRANCES_2012,7238,0
MEMO_PAGO_OPERADOR,853582,2021-05-13,2021-05-14,FRANCES_2012,7887,5774
MEMO_PAGO_OPERADOR,841179,2021-03-09,2021-03-17,BSR_TARDIA,1944,5261
MEMO_PAGO_OPERADOR,809500,2020-10-19,,FRANCES_2012,6442,0
MEMO_PAGO_OPERADOR,758211,2020-02-04,2020-10-27,FRANCES_2012,1419,0
MEMO_PAGO_OPERADOR,764737,2020-03-05,2020-03-06,FRANCES_2012,9312,16267
MEMO_PAGO_OPERADOR,792396,2020-07-31,2020-07-31,FRANCES_2012,2721,6870
MEMO_PAGO_OPERADOR,803628,2020-09-21,2020-09-22,FRANCES_2012,6258,5000
MEMO_PAGO_OPERADOR,756590,2020-01-27,2020-01-28,FRANCES_2012,1543,1500
MEMO_PAGO_OPERADOR,864469,2021-06-30,2021-06-30,FRANCES_2012,2285,32000
MEMO_PAGO_OPERADOR,758240,2020-02-04,2020-10-27,FRANCES_2012,9711,0
MEMO_PAGO_OPERADOR,826007,2021-01-04,2021-01-04,BSR_TARDIA,8546,2910
OP_BBVA,183,2020-10-22,,FRANCES_2012,5844,114000
MEMO_PAGO_OPERADOR,772046,2020-04-20,2020-04-22,FRANCES_2012,6649,5334
MEMO_PAGO_OPERADOR,818867,2020-12-02,,FRANCES_2012,5706,0
MEMO_PAGO_OPERADOR,797950,2020-08-26,2020-08-27,FRANCES_2012,9823,1600
MEMO_PAGO_OPERADOR,791920,2020-07-29,2020-07-29,FRANCES_2012,5148,4000
PAGOPOTENCIAL,123749,2021-07-23,,HSBC_LEGALES_TEMP,1369,3400
MEMO_PAGO_OPERADOR,772345,2020-04-21,2020-10-27,FRANCES_2012,5866,0
MEMO_PAGO_OPERADOR,786371,2020-06-28,2020-06-30,FRANCES_2012,6859,2250
MEMO_PAGO_OPERADOR,789006,2020-07-14,2020-10-27,FRANCES_2012,3498,0
MEMO_PAGO_OPERADOR,816359,2020-11-24,,FRANCES_2012,1820,0
MEMO_PAGO_OPERADOR,763499,2020-02-28,2020-02-28,FRANCES_2012,2906,3455
MEMO_PAGO_OPERADOR,809619,2020-10-20,,FRANCES_2012,4983,0
MEMO_PAGO_OPERADOR,782044,2020-06-04,2020-06-09,FRANCES_2012,3854,40460
MEMO_PAGO_OPERADOR,774906,2020-05-07,2020-05-07,FRANCES_2012,9811,4060
MEMO_PAGO_OPERADOR,761309,2020-02-18,2020-10-27,FRANCES_2012,6754,0
PAGOPOTENCIAL,87555,2020-04-26,,AMEX_PARM,4246,30000
PAGOPOTENCIAL,35780,2020-02-14,,AMEX_PALM,5480,8900
MEMO_PAGO_OPERADOR,796422,2020-08-24,2020-08-25,FRANCES_2012,5915,10500
MEMO_PAGO_OPERADOR,791927,2020-07-27,2020-07-29,FRANCES_2012,1432,1800
MEMO_PAGO_OPERADOR,855893,2021-05-17,2021-05-18,FRANCES_2012,8054,1500
MEMO_PAGO_OPERADOR,868678,2021-07-19,2021-07-19,FRANCES_2012,1963,14000
MEMO_PAGO_OPERADOR,778650,2020-05-19,2020-05-20,FRANCES_2012,2396,4100
PAGOPOTENCIAL,58330,2020-09-03,,HSBC_LEGALES14,3268,4750
PAGO,1267056,2021-07-06,,BSR_TARDIA,1053,3200
PAGO,259172,2020-01-27,,FRANCES_2012,6668,20000
MEMO_PAGO_OPERADOR,787933,2020-07-07,2020-07-08,FRANCES_2012,7586,10200
MEMO_PAGO_OPERADOR,763675,2020-02-28,2020-03-03,FRANCES_2012,2849,750
MEMO_PAGO_OPERADOR,803988,2020-09-23,,FRANCES_2012,8373,0
MEMO_PAGO_OPERADOR,779286,2020-05-22,2020-06-04,HSBC_LEGALES14,2123,5650
MEMO_PAGO_OPERADOR,802870,2020-09-17,2020-09-21,BSR_TARDIA,5470,8329.96
MEMO_PAGO_OPERADOR,769608,2020-04-03,2020-04-03,FRANCES_2012,5436,4600
MEMO_PAGO_OPERADOR,777492,2020-05-13,2020-05-14,FRANCES_2012,1397,2400
MEMO_PAGO_OPERADOR,843755,2021-03-22,2021-03-23,FRANCES_2012,2359,12945
MEMO_PAGO_OPERADOR,802436,2020-09-15,2020-09-17,FRANCES_2012,8955,3500
MEMO_PAGO_OPERADOR,768139,2020-03-17,2020-03-18,FRANCES_2012,9121,3500
MEMO_PAGO_OPERADOR,827471,2021-01-07,2021-01-08,FRANCES_2012,9460,2700
PAGOPOTENCIAL,111681,2021-01-19,,HSBC_LEGALES14,2791,11000
MEMO_PAGO_OPERADOR,771338,2020-04-06,2020-04-17,BSR_TARDIA,1320,13474
PAGOPOTENCIAL,117719,2021-05-01,,HSBC_LEGALES14,5365,15000
MEMO_PAGO_OPERADOR,809141,2020-06-15,2020-10-19,FRANCES_2012,6123,2800
MEMO_PAGO_OPERADOR,821603,2020-12-09,2020-12-14,BSR_TARDIA,2027,9030
MEMO_PAGO_OPERADOR,768905,2020-03-25,2020-03-26,FRANCES_2012,8715,1955
PAGOPOTENCIAL,25028,2020-08-10,,AMEX_PNCM,3404,23500
MEMO_PAGO_OPERADOR,859342,2021-05-31,2021-06-01,FRANCES_2012,9136,28800
MEMO_PAGO_OPERADOR,793806,2020-08-06,2020-08-10,FRANCES_2012,7367,4950
PAGOPOTENCIAL,58497,2020-06-27,,AMEX_PELM,5654,1610
PAGOPOTENCIAL,37098,2020-06-16,,AMEX_PARM,7686,38000
PAGOPOTENCIAL,118179,2021-05-17,,HSBC_LEGALES14,6600,7900
MEMO_PAGO_OPERADOR,799755,2020-09-07,2020-09-07,FRANCES_2012,7950,500
MEMO_PAGO_OPERADOR,757174,2020-01-29,2020-01-31,BSR_TARDIA,4055,2700
PAGOPOTENCIAL,80166,2020-09-22,,AMEX_QRPM,7133,7008
PAGOPOTENCIAL,109949,2020-12-28,,AMEX_PNCM,8809,19000
MEMO_PAGO_OPERADOR,839207,2021-03-08,2021-03-09,FRANCES_2012,9801,500
MEMO_PAGO_OPERADOR,844146,2021-03-26,2021-03-29,FRANCES_2012,6235,8450
MEMO_PAGO_OPERADOR,819179,2020-12-03,2020-12-04,FRANCES_2012,8559,1590
MEMO_PAGO_OPERADOR,774646,2020-05-05,2020-05-06,FRANCES_2012,2203,1470
MEMO_PAGO_OPERADOR,835423,2021-01-28,2021-02-02,FRANCES_2012,7490,5400
PAGOPOTENCIAL,71065,2020-09-16,,AMEX_PALM,1283,2006.27
MEMO_PAGO_OPERADOR,845541,2021-04-09,2021-04-09,FRANCES_2012,7488,13740
MEMO_PAGO_OPERADOR,837056,2021-02-17,2021-02-18,FRANCES_2012,2160,6800
PAGOPOTENCIAL,80159,2020-07-21,,AMEX_TNLM,7079,106604
MEMO_PAGO_OPERADOR,770478,2020-04-09,2020-04-13,FRANCES_2012,9808,3884
MEMO_PAGO_OPERADOR,838566,2021-03-02,2021-03-04,BSR_TARDIA,1852,5350
PAGOPOTENCIAL,118299,2021-05-26,,HSBC_LEGALES14,3403,19000
MEMO_PAGO_OPERADOR,822234,2020-12-14,,HSBC_LEGALES14,9053,0
PAGOPOTENCIAL,36950,2020-06-16,,AMEX_PARM,8211,2500
MEMO_PAGO_OPERADOR,803238,2020-09-18,2020-09-21,FRANCES_2012,5827,2950
MEMO_PAGO_OPERADOR,861241,2021-06-08,2021-06-09,FRANCES_2012,9508,6520
MEMO_PAGO_OPERADOR,859402,2021-06-01,2021-06-01,FRANCES_2012,5875,6575
MEMO_PAGO_OPERADOR,771775,2020-04-17,2020-04-20,FRANCES_2012,7765,5500
MEMO_PAGO_OPERADOR,763552,2020-02-28,2020-10-27,FRANCES_2012,9157,0
MEMO_PAGO_OPERADOR,811064,2020-10-28,2020-10-29,FRANCES_2012,3096,500
MEMO_PAGO_OPERADOR,776255,2020-05-08,2020-05-08,FRANCES_2012,7355,2550
PAGOPOTENCIAL,60314,2020-09-09,,AMEX_PALM,2475,13609.1
PAGOPOTENCIAL,79693,2020-07-22,,AMEX_PALM,2147,30000
PAGOPOTENCIAL,123791,2021-07-27,,AMEX_ALHR,5955,6000
PAGOPOTENCIAL,111711,2021-01-20,,AMEX_PALM,9523,3118.04
MEMO_PAGO_OPERADOR,790846,2020-07-23,2020-07-24,FRANCES_2012,7470,1760
MEMO_PAGO_OPERADOR,806552,2020-10-08,2020-10-08,FRANCES_2012,4200,14000
MEMO_PAGO_OPERADOR,824453,2020-12-21,2020-12-21,FRANCES_2012,7387,2200
MEMO_PAGO_OPERADOR,818102,2020-11-27,2020-11-27,FRANCES_2012,5893,1300
MEMO_PAGO_OPERADOR,792603,2020-07-31,2020-08-05,HSBC_LEGALES_TEMP,7197,3213
MEMO_PAGO_OPERADOR,756185,2020-01-06,2020-10-27,FRANCES_2012,7801,0
MEMO_PAGO_OPERADOR,830624,2021-01-15,2021-01-18,BSR_TARDIA,3078,7300
MEMO_PAGO_OPERADOR,779249,2020-05-21,2020-05-22,FRANCES_2012,3619,3600
MEMO_PAGO_OPERADOR,787614,2020-07-05,2020-07-08,FRANCES_2012,3542,5860
PAGOPOTENCIAL,29909,2020-06-09,,AMEX_PARM,1839,30000
MEMO_PAGO_OPERADOR,824871,2020-12-23,2020-12-23,FRANCES_2012,3405,6500
MEMO_PAGO_OPERADOR,793793,2020-08-10,,FRANCES_2012,2782,0
MEMO_PAGO_OPERADOR,812617,2020-11-09,,FRANCES_2012,3708,0
MEMO_PAGO_OPERADOR,845092,2021-04-04,2021-04-07,BSR_TARDIA,5198,4300
MEMO_PAGO_OPERADOR,821978,2020-12-11,2020-12-11,FRANCES_2012,6762,5000
MEMO_PAGO_OPERADOR,776168,2020-05-08,2020-05-08,FRANCES_2012,2242,6835
MEMO_PAGO_OPERADOR,845987,2021-04-13,2021-04-15,BSR_TARDIA,4976,1630
MEMO_PAGO_OPERADOR,864390,2021-06-30,2021-06-30,FRANCES_2012,5444,2435
MEMO_PAGO_OPERADOR,755585,2020-01-22,2020-01-23,FRANCES_2012,4653,5000
MEMO_PAGO_OPERADOR,784393,2020-06-19,2020-06-22,FRANCES_2012,1188,1100
MEMO_PAGO_OPERADOR,844128,2021-03-26,2021-03-26,FRANCES_2012,2082,3100
PAGOPOTENCIAL,59289,2020-07-07,,AMEX_PNCM,4836,121153.18
MEMO_PAGO_OPERADOR,816131,2020-11-18,2020-11-20,FRANCES_2012,9892,8900
MEMO_PAGO_OPERADOR,845650,2021-04-09,2021-04-13,FRANCES_2012,9671,10000
MEMO_PAGO_OPERADOR,790900,2020-07-24,2020-10-27,FRANCES_2012,5136,0
MEMO_PAGO_OPERADOR,778252,2020-05-05,2020-05-18,FRANCES_2012,5270,1700
MEMO_PAGO_OPERADOR,790957,2020-07-22,2020-07-24,FRANCES_2012,6854,2460
MEMO_PAGO_OPERADOR,833962,2021-01-27,2021-01-28,FRANCES_2012,6045,1755
PAGOPOTENCIAL,65073,2020-09-11,,AMEX_PALM,9243,3000
MEMO_PAGO_OPERADOR,757461,2020-01-10,2020-10-27,FRANCES_2012,9432,0
MEMO_PAGO_OPERADOR,844004,2021-03-24,2021-03-25,FRANCES_2012,9237,7000
MEMO_PAGO_OPERADOR,763626,2020-02-28,2020-02-28,FRANCES_2012,2266,7100
MEMO_PAGO_OPERADOR,812317,2020-11-07,2020-11-09,FRANCES_2012,1431,8700
MEMO_PAGO_OPERADOR,844092,2021-03-26,,FRANCES_2012,5100,1500
MEMO_PAGO_OPERADOR,812839,2020-11-09,2020-11-11,FRANCES_2012,5564,3070
PAGOPOTENCIAL,118255,2021-05-19,,AMEX_PARM,2176,25898.73
MEMO_PAGO_OPERADOR,756793,2020-01-27,2020-01-29,BSR_TARDIA,3471,5022.05
MEMO_PAGO_OPERADOR,791935,2020-07-29,2020-07-30,FRANCES_2012,5415,1357
MEMO_PAGO_OPERADOR,772539,2020-04-21,2020-04-23,FRANCES_2012,1132,2825
MEMO_PAGO_OPERADOR,816820,2020-11-25,,FRANCES_2012,4373,0
MEMO_PAGO_OPERADOR,863496,2021-06-22,2021-06-23,FRANCES_2012,9813,5500
MEMO_PAGO_OPERADOR,776688,2020-05-11,2020-05-13,HSBC_LEGALES_TEMP,2275,551
MEMO_PAGO_OPERADOR,798659,2020-08-31,2020-08-31,FRANCES_2012,6930,2200
MEMO_PAGO_OPERADOR,752197,2020-01-10,2020-01-10,FRANCES_2012,9033,2550
MEMO_PAGO_OPERADOR,832754,2021-01-21,2021-01-27,FRANCES_2012,9672,7000
MEMO_PAGO_OPERADOR,796656,2020-08-24,2020-08-27,BSR_TARDIA,7857,6381
MEMO_PAGO_OPERADOR,773872,2020-04-30,2020-04-30,FRANCES_2012,1020,5850
MEMO_PAGO_OPERADOR,849824,2021-04-29,2021-04-29,FRANCES_2012,8309,2900
MEMO_PAGO_OPERADOR,762058,2020-02-21,2020-02-21,FRANCES_2012,5152,9900
MEMO_PAGO_OPERADOR,804667,2020-09-28,2020-09-28,FRANCES_2012,8110,6000
MEMO_PAGO_OPERADOR,751607,2020-01-08,2020-01-08,FRANCES_2012,8401,7585
MEMO_PAGO_OPERADOR,795287,2020-08-19,2020-08-19,FRANCES_2012,6396,17170
MEMO_PAGO_OPERADOR,863698,2021-06-18,2021-06-25,BSR_TARDIA,3094,7902.29
MEMO_PAGO_OPERADOR,824699,2020-12-21,2020-12-23,FRANCES_2012,4731,5500
OP_BBVA,77,2020-09-05,,FRANCES_2012,3079,73500
MEMO_PAGO_OPERADOR,789484,2020-07-16,2020-07-17,FRANCES_2012,3998,500
MEMO_PAGO_OPERADOR,756739,2020-01-28,2020-01-29,FRANCES_2012,5993,1200
PAGOPOTENCIAL,111838,2021-01-04,,AMEX_QRNM,2705,6849
MEMO_PAGO_OPERADOR,799499,2020-09-03,,FRANCES_2012,8619,0
MEMO_PAGO_OPERADOR,859619,2021-06-03,2021-06-03,FRANCES_2012,7706,11000
MEMO_PAGO_OPERADOR,836400,2021-02-09,2021-02-10,FRANCES_2012,6051,55900
PAGOPOTENCIAL,68946,2020-03-30,,AMEX_PARM,3814,4970
MEMO_PAGO_OPERADOR,795327,2020-08-14,2020-08-19,FRANCES_2012,5501,3100
PAGOPOTENCIAL,82217,2020-07-23,,AMEX_PALM,5020,5000
MEMO_PAGO_OPERADOR,791346,2020-07-27,2020-07-27,FRANCES_2012,6446,10820
MEMO_PAGO_OPERADOR,863184,2021-06-10,2021-06-23,BSR_TARDIA,4949,6100
MEMO_PAGO_OPERADOR,793254,2020-08-06,,FRANCES_2012,5677,0
MEMO_PAGO_OPERADOR,864749,2021-07-02,2021-07-05,FRANCES_2012,3801,14000
MEMO_PAGO_OPERADOR,838937,2021-01-14,,FRANCES_2012,5489,1000
PAGOPOTENCIAL,81303,2020-07-23,,AMEX_TNLM,2236,3590
MEMO_PAGO_OPERADOR,768922,2020-03-02,2020-03-27,FRANCES_2012,2734,5500
PAGOPOTENCIAL,67864,2020-07-06,,AMEX_PNCM,9174,842.17
MEMO_PAGO_OPERADOR,839087,2021-03-08,,FRANCES_2012,7221,0
MEMO_PAGO_OPERADOR,843710,2021-03-22,2021-03-23,FRANCES_2012,5920,550
MEMO_PAGO_OPERADOR,816725,2020-11-24,2020-11-25,FRANCES_2012,6109,1150
MEMO_PAGO_OPERADOR,769132,2020-03-27,2020-03-30,FRANCES_2012,5795,2000
PAGOPOTENCIAL,118608,2021-06-07,,AMEX_QRNM,3959,8202.26
PAGOPOTENCIAL,76574,2020-04-15,,AMEX_PARM,4204,419.32
MEMO_PAGO_OPERADOR,791559,2020-07-28,2020-07-28,FRANCES_2012,6214,14000
MEMO_PAGO_OPERADOR,798485,2020-08-27,2020-08-31,FRANCES_2012,2661,2235
MEMO_PAGO_OPERADOR,777751,2020-05-14,2020-05-15,FRANCES_2012,5629,16000
MEMO_PAGO_OPERADOR,795254,2020-08-18,2020-08-19,FRANCES_2012,8103,1910
MEMO_PAGO_OPERADOR,757822,2020-01-31,2020-01-31,FRANCES_2012,7744,2300
MEMO_PAGO_OPERADOR,767342,2020-03-06,2020-03-13,FRANCES_2012,6037,14846
MEMO_PAGO_OPERADOR,764437,2020-03-04,2020-03-05,FRANCES_2012,1260,6060
MEMO_PAGO_OPERADOR,785124,2020-06-23,2020-06-24,FRANCES_2012,2716,4000
MEMO_PAGO_OPERADOR,752354,2020-01-10,2020-01-13,FRANCES_2012,9182,4284
MEMO_PAGO_OPERADOR,752806,2020-01-14,2020-01-14,FRANCES_2012,7374,1900
PAGOPOTENCIAL,44167,2020-06-19,,AMEX_PNCM,3522,14466.65
MEMO_PAGO_OPERADOR,791558,2020-07-24,2020-07-28,FRANCES_2012,5079,15000
MEMO_PAGO_OPERADOR,784693,2020-06-22,2020-10-27,FRANCES_2012,3455,0
MEMO_PAGO_OPERADOR,807066,2020-10-12,2020-10-13,FRANCES_2012,8639,12000
MEMO_PAGO_OPERADOR,758641,2020-02-06,2020-02-06,FRANCES_2012,5155,4800
MEMO_PAGO_OPERADOR,769292,2020-03-28,2020-03-30,FRANCES_2012,2267,3500
MEMO_PAGO_OPERADOR,866653,2021-07-12,2021-07-13,BSR_TARDIA,7688,10500
MEMO_PAGO_OPERADOR,794111,2020-08-10,2020-08-11,FRANCES_2012,9651,2970
MEMO_PAGO_OPERADOR,786227,2020-06-29,2020-06-29,FRANCES_2012,7277,1710
PAGOPOTENCIAL,58267,2020-07-07,,AMEX_PARM,2354,6400
PAGOPOTENCIAL,107347,2020-11-16,,HSBC_LEGALES_TEMP,9840,4700
MEMO_PAGO_OPERADOR,760741,2020-02-14,2020-02-17,FRANCES_2012,5832,12050
MEMO_PAGO_OPERADOR,774603,2020-05-04,2020-05-05,FRANCES_2012,8431,200
MEMO_PAGO_OPERADOR,863933,2021-06-26,,FRANCES_2012,5570,3000
MEMO_PAGO_OPERADOR,858677,2021-05-26,2021-05-27,FRANCES_2012,4689,2550
MEMO_PAGO_OPERADOR,765044,2020-03-06,2020-10-27,FRANCES_2012,7854,0
MEMO_PAGO_OPERADOR,777801,2020-05-12,2020-10-27,FRANCES_2012,8914,0
MEMO_PAGO_OPERADOR,869058,2021-07-22,,FRANCES_2012,7346,0
MEMO_PAGO_OPERADOR,792486,2020-07-03,2020-07-31,FRANCES_2012,1753,2350
MEMO_PAGO_OPERADOR,780419,2020-05-28,2020-06-02,BSR_TARDIA,5071,8560
MEMO_PAGO_OPERADOR,783325,2020-06-12,2020-10-27,FRANCES_2012,4650,0
MEMO_PAGO_OPERADOR,774331,2020-05-04,2020-10-27,FRANCES_2012,4286,0
MEMO_PAGO_OPERADOR,862908,2021-06-12,,HSBC_LEGALES14,3431,0
MEMO_PAGO_OPERADOR,769886,2020-04-06,2020-10-27,FRANCES_2012,8044,0
PAGOPOTENCIAL,112888,2021-02-23,,AMEX_ALHR,5423,4595
MEMO_PAGO_OPERADOR,804484,2020-09-25,2020-09-28,FRANCES_2012,2658,2135
PAGOPOTENCIAL,112394,2021-02-09,,HSBC_LEGALES_TEMP,4675,12000
PAGOPOTENCIAL,105736,2020-11-02,,AMEX_PALM,4458,5000
PAGOPOTENCIAL,28179,2020-08-07,,AMEX_PNCM,4527,15382.32
MEMO_PAGO_OPERADOR,777541,2020-05-13,2020-05-14,FRANCES_2012,6550,3578
MEMO_PAGO_OPERADOR,799428,2020-09-03,2020-09-04,FRANCES_2012,3315,5214
MEMO_PAGO_OPERADOR,783785,2020-06-10,2020-06-17,FRANCES_2012,2252,12000
MEMO_PAGO_OPERADOR,759599,2020-02-10,2020-02-11,FRANCES_2012,9091,5000
MEMO_PAGO_OPERADOR,849110,2021-04-23,2021-04-23,FRANCES_2012,7287,1000
MEMO_PAGO_OPERADOR,838512,2021-03-01,,FRANCES_2012,6538,0
PAGOPOTENCIAL,18673,2020-01-30,,AMEX_PALM,7228,5100
MEMO_PAGO_OPERADOR,758474,2020-01-07,2020-02-05,FRANCES_2012,3292,5100
MEMO_PAGO_OPERADOR,807270,2020-10-13,2020-10-13,FRANCES_2012,7250,1865
PAGOPOTENCIAL,116348,2021-04-16,,HSBC_LEGALES14,8985,2970
MEMO_PAGO_OPERADOR,793119,2020-08-05,2020-08-06,FRANCES_2012,3454,1100
MEMO_PAGO_OPERADOR,796265,2020-08-24,2020-08-25,BSR_TARDIA,9537,1000
MEMO_PAGO_OPERADOR,756879,2020-01-28,2020-01-29,FRANCES_2012,4102,4000
MEMO_PAGO_OPERADOR,799660,2020-09-03,,FRANCES_2012,4751,0
PAGO,1264634,2021-06-18,,BSR_TARDIA,9500,7158
MEMO_PAGO_OPERADOR,859562,2021-04-30,2021-06-03,FRANCES_2012,3087,1500
PAGOPOTENCIAL,108830,2020-11-30,,AMEX_PALM,2222,8010
PAGOPOTENCIAL,121933,2021-06-09,,AMEX_ALHR,5833,3000
PAGOPOTENCIAL,76642,2020-04-16,,AMEX_PFLM,8275,1297
PAGOPOTENCIAL,97665,2020-01-10,,AMEX_PARM,4905,12296.43
MEMO_PAGO_OPERADOR,756914,2020-01-28,2020-01-29,FRANCES_2012,1540,1700
MEMO_PAGO_OPERADOR,830548,2021-01-15,,FRANCES_2012,8782,0
MEMO_PAGO_OPERADOR,808925,2020-10-15,2020-10-19,FRANCES_2012,8758,2353
PAGOPOTENCIAL,116410,2021-04-20,,AMEX_PALM,3819,6415.64
MEMO_PAGO_OPERADOR,804163,2020-09-24,2020-09-24,FRANCES_2012,1433,2333
MEMO_PAGO_OPERADOR,843600,2021-03-22,2021-03-22,FRANCES_2012,5849,3800
MEMO_PAGO_OPERADOR,751098,2020-01-04,2020-01-07,FRANCES_2012,8328,2390
MEMO_PAGO_OPERADOR,778451,2020-05-19,2020-05-20,BSR_TARDIA,3252,9017.91
MEMO_PAGO_OPERADOR,838949,2021-02-06,2021-03-12,FRANCES_2012,6713,3750
PAGO,1254990,2021-05-11,,BSR_TARDIA,8504,5750
PAGOPOTENCIAL,44124,2020-08-21,,AMEX_PALM,5280,6603.63
MEMO_PAGO_OPERADOR,773892,2020-04-29,2020-04-30,FRANCES_2012,3649,1700
MEMO_PAGO_OPERADOR,804392,2020-09-25,2020-09-25,FRANCES_2012,8225,2900
MEMO_PAGO_OPERADOR,789776,2020-07-17,2020-07-20,FRANCES_2012,7071,6000
MEMO_PAGO_OPERADOR,866718,2021-07-12,2021-07-12,FRANCES_2012,3463,3900
MEMO_PAGO_OPERADOR,838296,2021-02-26,2021-02-26,FRANCES_2012,7634,5700
MEMO_PAGO_OPERADOR,753803,2020-01-18,2020-01-21,BSR_TARDIA,6354,4700
MEMO_PAGO_OPERADOR,844797,2021-03-31,2021-03-31,FRANCES_2012,9026,12860
MEMO_PAGO_OPERADOR,755772,2020-01-23,2020-01-23,FRANCES_2012,3548,170
PAGOPOTENCIAL,122275,2021-07-05,,HSBC_LEGALES14,5674,4500
